[rosmaster.main][INFO] 2017-01-25 11:35:58,925: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-01-25 11:35:58,925: Starting ROS Master Node
[rosmaster.master][INFO] 2017-01-25 11:36:00,051: -SERVICE [/camera/nodelet_manager/get_loggers] /camera/nodelet_manager rosrpc://LYC-UP:58274
[rosmaster.master][INFO] 2017-01-25 11:36:00,055: -SERVICE [/camera/nodelet_manager/set_logger_level] /camera/nodelet_manager rosrpc://LYC-UP:58274
[rosmaster.master][INFO] 2017-01-25 11:36:00,058: -SERVICE [/camera/nodelet_manager/load_nodelet] /camera/nodelet_manager rosrpc://LYC-UP:58274
[rosmaster.master][INFO] 2017-01-25 11:36:00,062: -SERVICE [/camera/nodelet_manager/unload_nodelet] /camera/nodelet_manager rosrpc://LYC-UP:58274
[rosmaster.master][INFO] 2017-01-25 11:36:00,065: -SERVICE [/camera/nodelet_manager/list] /camera/nodelet_manager rosrpc://LYC-UP:58274
[rosmaster.master][INFO] 2017-01-25 11:36:00,245: -PUB [/rosout] /camera/driver http://LYC-UP:43790/
[rosmaster.master][INFO] 2017-01-25 11:36:00,250: -SERVICE [/camera/driver/get_loggers] /camera/driver rosrpc://LYC-UP:41447
[rosmaster.master][INFO] 2017-01-25 11:36:00,251: publisherUpdate[/rosout] -> http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:36:00,256: -SERVICE [/camera/driver/set_logger_level] /camera/driver rosrpc://LYC-UP:41447
[rosmaster.master][INFO] 2017-01-25 11:36:17,581: -PUB [/rosout_agg] /rosout http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:36:17,584: -SUB [/rosout] /rosout http://LYC-UP:33174/
[rosmaster.master][INFO] 2017-01-25 11:36:17,587: -SERVICE [/rosout/get_loggers] /rosout rosrpc://LYC-UP:46243
[rosmaster.master][INFO] 2017-01-25 11:36:17,590: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://LYC-UP:46243
[rosmaster.main][INFO] 2017-01-25 11:36:17,760: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-01-25 11:36:17,760: stopping master...
[rospy.core][INFO] 2017-01-25 11:36:17,761: signal_shutdown [atexit]
